지점,지점명,TIME,기온(°C),풍속(m/s)
138,포항,20-1-13 15:00,6.2,4.8
138,포항,20-1-13 16:00,5.9,3
138,포항,20-1-13 17:00,4.9,2.9
138,포항,20-1-13 18:00,3.5,2.3
138,포항,20-1-13 19:00,2.9,2.2
138,포항,20-1-13 20:00,2.3,2.7
138,포항,20-1-13 21:00,2,3.6
138,포항,20-1-13 22:00,1.4,1.1
138,포항,20-1-13 23:00,0.7,1.6
138,포항,20-1-14 0:00,0.4,3.5
138,포항,20-1-14 1:00,0.2,4.9
138,포항,20-1-14 2:00,-0.2,4.2
138,포항,20-1-14 3:00,-0.4,4.4
138,포항,20-1-14 4:00,-0.4,2.9
138,포항,20-1-14 5:00,-0.4,2.2
138,포항,20-1-14 6:00,-0.6,3.3
138,포항,20-1-14 7:00,-0.6,3.7
138,포항,20-1-14 8:00,-0.5,2.3
138,포항,20-1-14 9:00,0.1,3.1
138,포항,20-1-14 10:00,0.7,3
138,포항,20-1-14 11:00,2.1,1.9
138,포항,20-1-14 12:00,3.2,3.2
138,포항,20-1-14 13:00,4.9,2.8
138,포항,20-1-14 14:00,6.3,1
138,포항,20-1-14 15:00,6.5,1.8
138,포항,20-1-14 16:00,7,1.5
138,포항,20-1-14 17:00,5.9,1.7
138,포항,20-1-14 18:00,4.4,1.3
138,포항,20-1-14 19:00,2.9,0.6
138,포항,20-1-14 20:00,2.5,1.1
138,포항,20-1-14 21:00,2.2,2.3
138,포항,20-1-14 22:00,1.7,1.9
138,포항,20-1-14 23:00,0.5,0.6
138,포항,20-1-15 0:00,0.4,1.6
138,포항,20-1-15 1:00,0.3,2.8
138,포항,20-1-15 2:00,0.2,2.6
138,포항,20-1-15 3:00,-0.5,1.4
138,포항,20-1-15 4:00,-0.7,2
138,포항,20-1-15 5:00,-1,2.7
138,포항,20-1-15 6:00,-1.5,2.3
138,포항,20-1-15 7:00,-1.5,2.2
138,포항,20-1-15 8:00,-1.5,2.1
138,포항,20-1-15 9:00,0,2.4
138,포항,20-1-15 10:00,1.5,4.6
138,포항,20-1-15 11:00,3,3.9
138,포항,20-1-15 12:00,4,3.7
138,포항,20-1-15 13:00,5.1,4.5
138,포항,20-1-15 14:00,5.9,3.7
138,포항,20-1-15 15:00,6.3,3.5
138,포항,20-1-15 16:00,6.2,3.6
138,포항,20-1-15 17:00,5,2.9
138,포항,20-1-15 18:00,3.7,2.4
138,포항,20-1-15 19:00,2.9,2.6
138,포항,20-1-15 20:00,2.2,2.4
138,포항,20-1-15 21:00,1.5,2.5
138,포항,20-1-15 22:00,0.9,2.4
138,포항,20-1-15 23:00,0.3,3.6
138,포항,20-1-16 0:00,0.2,2.5
138,포항,20-1-16 1:00,-0.5,2.2
138,포항,20-1-16 2:00,-0.8,2.8
138,포항,20-1-16 3:00,-1.1,3.1
138,포항,20-1-16 4:00,-1.3,2.7
138,포항,20-1-16 5:00,-1.4,3.2
138,포항,20-1-16 6:00,-1.7,2.7
138,포항,20-1-16 7:00,-1.4,3.6
138,포항,20-1-16 8:00,-1.3,3.2
138,포항,20-1-16 9:00,-0.6,3.2
138,포항,20-1-16 10:00,1.2,2.9
138,포항,20-1-16 11:00,2.3,3.8
138,포항,20-1-16 12:00,3.9,3.1
138,포항,20-1-16 13:00,5,3.6
138,포항,20-1-16 14:00,6.7,3.3
138,포항,20-1-16 15:00,7.3,3.5
138,포항,20-1-16 16:00,7.6,2.4
138,포항,20-1-16 17:00,6.6,2.2
138,포항,20-1-16 18:00,5,2.6
138,포항,20-1-16 19:00,4,1.8
138,포항,20-1-16 20:00,3.1,1.2
138,포항,20-1-16 21:00,2.4,1.4
138,포항,20-1-16 22:00,2,1.7
138,포항,20-1-16 23:00,1.7,2.3
138,포항,20-1-17 0:00,1.2,2.1
138,포항,20-1-17 1:00,1,1.7
138,포항,20-1-17 2:00,1.3,1.7
138,포항,20-1-17 3:00,1.1,1.8
138,포항,20-1-17 4:00,1,2.2
138,포항,20-1-17 5:00,1,2.3
138,포항,20-1-17 6:00,1,2.4
138,포항,20-1-17 7:00,0.9,2.2
138,포항,20-1-17 8:00,0.9,2.2
138,포항,20-1-17 9:00,1.5,2.8
138,포항,20-1-17 10:00,2.6,2.7
138,포항,20-1-17 11:00,4.5,2.5
138,포항,20-1-17 12:00,5.3,2.5
138,포항,20-1-17 13:00,7.2,1.8
138,포항,20-1-17 14:00,9.4,0.6
138,포항,20-1-17 15:00,9.3,2
138,포항,20-1-17 16:00,9.3,2
138,포항,20-1-17 17:00,8.5,1.7
138,포항,20-1-17 18:00,7,1.1
138,포항,20-1-17 19:00,6,1.8
138,포항,20-1-17 20:00,5.7,1.8
138,포항,20-1-17 21:00,5.6,1.2
138,포항,20-1-17 22:00,5.6,1.4
138,포항,20-1-17 23:00,5.1,1
138,포항,20-1-18 0:00,4.9,1.6
138,포항,20-1-18 1:00,4.5,2.2
138,포항,20-1-18 2:00,4.1,1.4
138,포항,20-1-18 3:00,3.5,2.6
138,포항,20-1-18 4:00,3.6,1.8
138,포항,20-1-18 5:00,3.5,2.1
138,포항,20-1-18 6:00,3.4,2.9
138,포항,20-1-18 7:00,3.2,2.3
138,포항,20-1-18 8:00,2.7,2.4
138,포항,20-1-18 9:00,2.6,2.9
138,포항,20-1-18 10:00,3,2.9
138,포항,20-1-18 11:00,4.2,3.1
138,포항,20-1-18 12:00,5.2,2.4
138,포항,20-1-18 13:00,6.5,1.8
138,포항,20-1-18 14:00,7.5,1.8
138,포항,20-1-18 15:00,7.6,1.6
138,포항,20-1-18 16:00,7.8,1.7
138,포항,20-1-18 17:00,7.6,1.2
138,포항,20-1-18 18:00,7.1,1.7
138,포항,20-1-18 19:00,6.2,0.7
138,포항,20-1-18 20:00,5.6,1
138,포항,20-1-18 21:00,4.7,1.6
138,포항,20-1-18 22:00,3.8,1.9
138,포항,20-1-18 23:00,2.9,1.6
138,포항,20-1-19 0:00,2.3,1.8
138,포항,20-1-19 1:00,1.6,1.8
138,포항,20-1-19 2:00,1.3,2.1
138,포항,20-1-19 3:00,1.4,1.9
138,포항,20-1-19 4:00,1.6,1.8
138,포항,20-1-19 5:00,1.8,2.2
138,포항,20-1-19 6:00,2,2.6
138,포항,20-1-19 7:00,2.1,3.1
138,포항,20-1-19 8:00,2.1,3.3
138,포항,20-1-19 9:00,2.5,3.4
138,포항,20-1-19 10:00,3.2,3.3
138,포항,20-1-19 11:00,4.3,2.2
138,포항,20-1-19 12:00,6,3
138,포항,20-1-19 13:00,8,4.3
138,포항,20-1-19 14:00,9.2,3.1
138,포항,20-1-19 15:00,8.3,3.5
138,포항,20-1-19 16:00,8.8,2.9
138,포항,20-1-19 17:00,8.4,4.6
138,포항,20-1-19 18:00,7.6,2.8
138,포항,20-1-19 19:00,7.2,3.7
138,포항,20-1-19 20:00,6.3,1.8
138,포항,20-1-19 21:00,5.3,1.2
138,포항,20-1-19 22:00,5,2.3
138,포항,20-1-19 23:00,4.7,2.1
138,포항,20-1-20 0:00,4.2,2.3
138,포항,20-1-20 1:00,4,2.5
138,포항,20-1-20 2:00,3.7,1.2
138,포항,20-1-20 3:00,3.2,2.1
138,포항,20-1-20 4:00,3.1,2.6
138,포항,20-1-20 5:00,2.9,2
138,포항,20-1-20 6:00,2.4,0.9
138,포항,20-1-20 7:00,2.8,1.5
138,포항,20-1-20 8:00,2.7,2.3
138,포항,20-1-20 9:00,3.5,1.6
138,포항,20-1-20 10:00,5.4,2.8
138,포항,20-1-20 11:00,6.9,1.9
138,포항,20-1-20 12:00,7.3,4.4
138,포항,20-1-20 13:00,8.2,3.4
138,포항,20-1-20 14:00,8.1,5.7
138,포항,20-1-20 15:00,8.5,4.4
138,포항,20-1-20 16:00,8.2,3.9
138,포항,20-1-20 17:00,7.2,3.3
138,포항,20-1-20 18:00,5.9,1.3
138,포항,20-1-20 19:00,5.1,1.9
138,포항,20-1-20 20:00,4.6,1.4
138,포항,20-1-20 21:00,4.5,2.3
138,포항,20-1-20 22:00,4.4,2.3
138,포항,20-1-20 23:00,3.6,2.1
138,포항,20-1-21 0:00,3.1,3.1
138,포항,20-1-21 1:00,2.4,2.6
138,포항,20-1-21 2:00,1.8,2.6
138,포항,20-1-21 3:00,1.1,1.9
138,포항,20-1-21 4:00,0.4,2.2
138,포항,20-1-21 5:00,-0.2,1.8
138,포항,20-1-21 6:00,-0.6,2.4
138,포항,20-1-21 7:00,-0.9,2.9
138,포항,20-1-21 8:00,-1.3,2.6
138,포항,20-1-21 9:00,0,2.8
138,포항,20-1-21 10:00,2.1,2.8
138,포항,20-1-21 11:00,4.1,2.3
138,포항,20-1-21 12:00,5.9,1.5
138,포항,20-1-21 13:00,7.1,1.4
138,포항,20-1-21 14:00,7.5,2.5
138,포항,20-1-21 15:00,8.1,0.9
138,포항,20-1-21 16:00,7.2,3.2
138,포항,20-1-21 17:00,7.1,2.1
138,포항,20-1-21 18:00,6.3,2.9
138,포항,20-1-21 19:00,6.2,2.8
138,포항,20-1-21 20:00,5,2
138,포항,20-1-21 21:00,4.3,2.1
138,포항,20-1-21 22:00,4,2.4
138,포항,20-1-21 23:00,3.8,2.6
138,포항,20-1-22 0:00,3.7,2.4
138,포항,20-1-22 1:00,3.4,1.7
138,포항,20-1-22 2:00,3.3,2
138,포항,20-1-22 3:00,3.5,1.5
138,포항,20-1-22 4:00,3.7,2
138,포항,20-1-22 5:00,3.5,2.2
138,포항,20-1-22 6:00,3.4,1.3
138,포항,20-1-22 7:00,3.6,1.7
138,포항,20-1-22 8:00,3.7,2
138,포항,20-1-22 9:00,4.2,2
138,포항,20-1-22 10:00,4.7,1.5
138,포항,20-1-22 11:00,5.6,2
138,포항,20-1-22 12:00,7.3,1.7
138,포항,20-1-22 13:00,8.3,1.4
138,포항,20-1-22 14:00,8.6,1.4
138,포항,20-1-22 15:00,8.7,1.2
138,포항,20-1-22 16:00,8.2,0.7
138,포항,20-1-22 17:00,7.9,1.2
138,포항,20-1-22 18:00,7.5,1
138,포항,20-1-22 19:00,7.4,0.9
138,포항,20-1-22 20:00,7,0.7
138,포항,20-1-22 21:00,6.9,0.8
138,포항,20-1-22 22:00,6.7,0.4
138,포항,20-1-22 23:00,6.4,1.5
138,포항,20-1-23 0:00,6.5,1
138,포항,20-1-23 1:00,6.6,0.1
138,포항,20-1-23 2:00,6.8,0.6
138,포항,20-1-23 3:00,7.2,1.5
138,포항,20-1-23 4:00,7.3,1.7
138,포항,20-1-23 5:00,7.3,1.2
138,포항,20-1-23 6:00,7.4,1.9
138,포항,20-1-23 7:00,7.2,1.5
138,포항,20-1-23 8:00,7.1,1.3
138,포항,20-1-23 9:00,7.3,1.5
138,포항,20-1-23 10:00,7.4,1.4
138,포항,20-1-23 11:00,7.8,1.7
138,포항,20-1-23 12:00,8.4,1.3
138,포항,20-1-23 13:00,8.8,1.6
138,포항,20-1-23 14:00,9.1,1.2
138,포항,20-1-23 15:00,9.6,0.6
138,포항,20-1-23 16:00,10.1,1
138,포항,20-1-23 17:00,10.1,1
138,포항,20-1-23 18:00,9.4,1.2
138,포항,20-1-23 19:00,8.8,1.8
138,포항,20-1-23 20:00,7.9,1.6
138,포항,20-1-23 21:00,7.5,1.8
138,포항,20-1-23 22:00,7,2.2
138,포항,20-1-23 23:00,6.9,2.7
138,포항,20-1-24 0:00,6.7,1.9
138,포항,20-1-24 1:00,6.3,2.5
138,포항,20-1-24 2:00,5.8,2.6
138,포항,20-1-24 3:00,5.5,2.3
138,포항,20-1-24 4:00,5,2.4
138,포항,20-1-24 5:00,4.7,2
138,포항,20-1-24 6:00,4.5,2
138,포항,20-1-24 7:00,4.2,1.2
138,포항,20-1-24 8:00,4.1,1.4
138,포항,20-1-24 9:00,4.8,1.4
138,포항,20-1-24 10:00,7.2,1.2
138,포항,20-1-24 11:00,10.1,3.2
138,포항,20-1-24 12:00,10.9,4
138,포항,20-1-24 13:00,12.4,3
138,포항,20-1-24 14:00,11.1,5.3
138,포항,20-1-24 15:00,9.7,3.4
138,포항,20-1-24 16:00,8.9,2.9
138,포항,20-1-24 17:00,8.2,1.9
138,포항,20-1-24 18:00,8.6,3
138,포항,20-1-24 19:00,8.4,5
138,포항,20-1-24 20:00,8.2,2.8
138,포항,20-1-24 21:00,8.1,3.9
138,포항,20-1-24 22:00,7.9,3.3
138,포항,20-1-24 23:00,8,3.2
138,포항,20-1-25 0:00,8.3,3.3
138,포항,20-1-25 1:00,8.4,4.4
138,포항,20-1-25 2:00,8.4,3.9
138,포항,20-1-25 3:00,8.4,3.4
138,포항,20-1-25 4:00,8.3,3.8
138,포항,20-1-25 5:00,7.9,3
138,포항,20-1-25 6:00,7.9,3.1
138,포항,20-1-25 7:00,7.8,3.2
138,포항,20-1-25 8:00,7.8,2.4
138,포항,20-1-25 9:00,7.8,2.1
138,포항,20-1-25 10:00,8.4,1.8
138,포항,20-1-25 11:00,9.2,2.4
138,포항,20-1-25 12:00,9.5,2.3
138,포항,20-1-25 13:00,9.6,2.8
138,포항,20-1-25 14:00,9.7,2.1
138,포항,20-1-25 15:00,9.7,2
138,포항,20-1-25 16:00,9.5,2.4
138,포항,20-1-25 17:00,9.2,2.6
138,포항,20-1-25 18:00,9,2.4
138,포항,20-1-25 19:00,8.9,1.9
138,포항,20-1-25 20:00,8.9,2
138,포항,20-1-25 21:00,8.6,1.2
138,포항,20-1-25 22:00,7.6,1
138,포항,20-1-25 23:00,7.3,1
138,포항,20-1-26 0:00,7.1,0.8
138,포항,20-1-26 1:00,6.8,0.8
138,포항,20-1-26 2:00,6.3,0.3
138,포항,20-1-26 3:00,5.9,0.9
138,포항,20-1-26 4:00,5.5,0.9
138,포항,20-1-26 5:00,5.5,0.7
138,포항,20-1-26 6:00,5.1,1
138,포항,20-1-26 7:00,4.9,0.8
138,포항,20-1-26 8:00,6.4,1.6
138,포항,20-1-26 9:00,7.8,2.8
138,포항,20-1-26 10:00,8.3,2.7
138,포항,20-1-26 11:00,8.4,2.4
138,포항,20-1-26 12:00,9.5,5.1
138,포항,20-1-26 13:00,10,5.9
138,포항,20-1-26 14:00,9.3,4.7
138,포항,20-1-26 15:00,9.5,4.6
138,포항,20-1-26 16:00,9.3,4.9
138,포항,20-1-26 17:00,9.1,3.7
138,포항,20-1-26 18:00,9.7,5.7
138,포항,20-1-26 19:00,9.4,5.6
138,포항,20-1-26 20:00,9.5,9
138,포항,20-1-26 21:00,9.4,8.7
138,포항,20-1-26 22:00,9.6,9
138,포항,20-1-26 23:00,9.8,10.3
138,포항,20-1-27 0:00,9.4,9.7
138,포항,20-1-27 1:00,8.7,9.8
138,포항,20-1-27 2:00,8.6,8.5
138,포항,20-1-27 3:00,9,8.1
138,포항,20-1-27 4:00,8.9,9.4
138,포항,20-1-27 5:00,9.3,8.8
138,포항,20-1-27 6:00,9.7,8.8
138,포항,20-1-27 7:00,9.6,8.8
138,포항,20-1-27 8:00,9.3,7.9
138,포항,20-1-27 9:00,9,9.6
138,포항,20-1-27 10:00,8.9,10.5
138,포항,20-1-27 11:00,8.7,10.9
138,포항,20-1-27 12:00,8.4,9.6
138,포항,20-1-27 13:00,8.1,10.9
138,포항,20-1-27 14:00,7.7,10.9
138,포항,20-1-27 15:00,7.6,11.6
138,포항,20-1-27 16:00,7.4,9
138,포항,20-1-27 17:00,7.6,9.4
138,포항,20-1-27 18:00,7.4,11.9
138,포항,20-1-27 19:00,7.9,10.4
138,포항,20-1-27 20:00,7.8,7.7
138,포항,20-1-27 21:00,8.1,10.8
138,포항,20-1-27 22:00,7.8,5.7
138,포항,20-1-27 23:00,8,8.2
138,포항,20-1-28 0:00,8.4,8.1
138,포항,20-1-28 1:00,8.2,5.6
138,포항,20-1-28 2:00,7.9,5.8
138,포항,20-1-28 3:00,8.1,5.8
138,포항,20-1-28 4:00,8.1,6.7
138,포항,20-1-28 5:00,8.2,5.8
138,포항,20-1-28 6:00,8.4,6.3
138,포항,20-1-28 7:00,8.2,5.8
138,포항,20-1-28 8:00,8.3,6.4
138,포항,20-1-28 9:00,7.8,2.9
138,포항,20-1-28 10:00,7.6,2.9
138,포항,20-1-28 11:00,7.4,2.8
138,포항,20-1-28 12:00,7.7,3.3
138,포항,20-1-28 13:00,8.2,3.9
138,포항,20-1-28 14:00,8.6,3.3
138,포항,20-1-28 15:00,9.2,4.3
138,포항,20-1-28 16:00,9.1,3.9
138,포항,20-1-28 17:00,8.8,3.8
138,포항,20-1-28 18:00,8.2,3.7
138,포항,20-1-28 19:00,8.3,3.7
138,포항,20-1-28 20:00,8,2.2
138,포항,20-1-28 21:00,7.3,1.6
138,포항,20-1-28 22:00,6.7,1.3
138,포항,20-1-28 23:00,6.7,1.8
138,포항,20-1-29 0:00,6,1.4
138,포항,20-1-29 1:00,5.4,0.9
138,포항,20-1-29 2:00,5.2,1
138,포항,20-1-29 3:00,5.2,1.1
138,포항,20-1-29 4:00,5.2,1.2
138,포항,20-1-29 5:00,5,1.2
138,포항,20-1-29 6:00,4.9,1
138,포항,20-1-29 7:00,5.4,1
138,포항,20-1-29 8:00,6.2,1.4
138,포항,20-1-29 9:00,6.7,1.8
138,포항,20-1-29 10:00,7.6,2.2
138,포항,20-1-29 11:00,9.1,2.7
138,포항,20-1-29 12:00,10.2,4.5
138,포항,20-1-29 13:00,10.5,4.3
138,포항,20-1-29 14:00,9.5,4.2
138,포항,20-1-29 15:00,9.1,3.8
138,포항,20-1-29 16:00,8.7,2.9
138,포항,20-1-29 17:00,7.8,3.2
138,포항,20-1-29 18:00,7.5,2.8
138,포항,20-1-29 19:00,7.5,2
138,포항,20-1-29 20:00,7.5,2
138,포항,20-1-29 21:00,7.1,2.2
138,포항,20-1-29 22:00,6.8,2.3
138,포항,20-1-29 23:00,6.3,2.3
138,포항,20-1-30 0:00,5.9,2.5
138,포항,20-1-30 1:00,5.8,2.2
138,포항,20-1-30 2:00,5.9,2.2
138,포항,20-1-30 3:00,6,2.2
138,포항,20-1-30 4:00,6.1,3.1
138,포항,20-1-30 5:00,5.8,2.1
138,포항,20-1-30 6:00,5.5,2.6
138,포항,20-1-30 7:00,4.9,2.3
138,포항,20-1-30 8:00,4.3,1.2
138,포항,20-1-30 9:00,5.4,1
138,포항,20-1-30 10:00,6.2,3.1
138,포항,20-1-30 11:00,6.9,2.5
138,포항,20-1-30 12:00,7.4,3.8
138,포항,20-1-30 13:00,7.8,3.6
138,포항,20-1-30 14:00,8.1,2.8
138,포항,20-1-30 15:00,7.6,3.6
138,포항,20-1-30 16:00,7.3,3.9
138,포항,20-1-30 17:00,6.8,3.5
138,포항,20-1-30 18:00,5.8,3.6
138,포항,20-1-30 19:00,5.5,3.2
138,포항,20-1-30 20:00,5.2,2.8
138,포항,20-1-30 21:00,4.7,2.4
138,포항,20-1-30 22:00,4.7,2
138,포항,20-1-30 23:00,4.7,2
138,포항,20-1-31 0:00,4.4,2.7
138,포항,20-1-31 1:00,4.2,1.4
138,포항,20-1-31 2:00,4.2,1.7
138,포항,20-1-31 3:00,4.1,1.1
138,포항,20-1-31 4:00,4,1.2
138,포항,20-1-31 5:00,3.9,0.9
138,포항,20-1-31 6:00,3.9,0.9
138,포항,20-1-31 7:00,3.8,1.2
138,포항,20-1-31 8:00,3.8,0.9
138,포항,20-1-31 9:00,4.4,1.4
138,포항,20-1-31 10:00,5.6,2
138,포항,20-1-31 11:00,7.5,1.8
138,포항,20-1-31 12:00,8.6,2.3
138,포항,20-1-31 13:00,7.9,2.3
138,포항,20-1-31 14:00,8.1,2.5
138,포항,20-1-31 15:00,8,2.5
138,포항,20-1-31 16:00,7.9,1.9
138,포항,20-1-31 17:00,8.1,2.2
138,포항,20-1-31 18:00,6.9,1.9
138,포항,20-1-31 19:00,6.2,1.6
138,포항,20-1-31 20:00,5,0.6
138,포항,20-1-31 21:00,4,0.4
138,포항,20-1-31 22:00,3.6,1.2
138,포항,20-1-31 23:00,3.2,1.9
138,포항,20-2-1 0:00,2.8,2
138,포항,20-2-1 1:00,2,2.1
138,포항,20-2-1 2:00,1.7,2.2
138,포항,20-2-1 3:00,1.4,1.4
138,포항,20-2-1 4:00,1.5,1.7
138,포항,20-2-1 5:00,1.4,2.5
138,포항,20-2-1 6:00,1.3,2.3
138,포항,20-2-1 7:00,1.2,1.7
138,포항,20-2-1 8:00,1.4,2
138,포항,20-2-1 9:00,2.6,3.7
138,포항,20-2-1 10:00,3.9,3.9
138,포항,20-2-1 11:00,5.7,3.5
138,포항,20-2-1 12:00,7.4,3.6
138,포항,20-2-1 13:00,7.8,4.1
138,포항,20-2-1 14:00,7.5,3
138,포항,20-2-1 15:00,8.2,3.7
138,포항,20-2-1 16:00,8.3,3.3
138,포항,20-2-1 17:00,7.6,2.4
138,포항,20-2-1 18:00,6.8,1.2
138,포항,20-2-1 19:00,5.9,1.7
138,포항,20-2-1 20:00,5.4,2
138,포항,20-2-1 21:00,4.7,1.6
138,포항,20-2-1 22:00,4,0.8
138,포항,20-2-1 23:00,3.8,1.3
138,포항,20-2-2 0:00,3.5,1.2
138,포항,20-2-2 1:00,3.2,1.6
138,포항,20-2-2 2:00,2.7,1.3
138,포항,20-2-2 3:00,2.7,2
138,포항,20-2-2 4:00,2.6,2.3
138,포항,20-2-2 5:00,2.2,1.5
138,포항,20-2-2 6:00,2,2
138,포항,20-2-2 7:00,1.6,2.3
138,포항,20-2-2 8:00,1.2,2.8
138,포항,20-2-2 9:00,2.7,2.7
138,포항,20-2-2 10:00,4.5,2.8
138,포항,20-2-2 11:00,6.7,3.3
138,포항,20-2-2 12:00,7.7,3
138,포항,20-2-2 13:00,8.3,3.8
138,포항,20-2-2 14:00,9,5.2
